timestamp,cell_id,lon,lat,site,TWB_C,wind_speed_rate,crowd_factor,twb_eff,alert_color,alert_action
2023-06-24 00:00:00,968,39.80666159223126,21.41145414716028,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,969,39.806711194709706,21.420488451096627,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,970,39.80676082323247,21.429522745188223,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,971,39.80681047780677,21.43855702943172,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1012,39.81625910970709,21.40237314075054,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1013,39.81630927892403,21.41140743292401,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1014,39.81635947448935,21.42044171525352,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1015,39.81640969641036,21.4294759877357,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1016,39.8164599446944,21.438510250367205,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1017,39.81651021934875,21.447544503144652,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1057,39.82590617728321,21.402325893130016,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1058,39.82595693926842,21.41136016344244,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1059,39.82600772791331,21.4203944239083,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1060,39.82605854322526,21.429428674524228,HARAM,22.329724866968775,0.75,3.0,24.96946388066974,YELLOW,Extra water stations; increased medical presence
2023-06-24 00:00:00,1061,39.82610938521168,21.43846291528688,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1062,39.82616025387997,21.44749714619287,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1102,39.83555321820705,21.40227809052729,HARAM,22.329724866968775,0.75,3.0,24.786840582056566,YELLOW,Extra water stations; increased medical presence
2023-06-24 00:00:00,1103,39.83560457295314,21.4113123387219,HARAM,22.329724866968775,0.75,3.0,25.800349247373084,YELLOW,Extra water stations; increased medical presence
2023-06-24 00:00:00,1104,39.835655954670194,21.42034657706731,HARAM,22.329724866968775,0.75,3.0,24.5454115667522,YELLOW,Extra water stations; increased medical presence
2023-06-24 00:00:00,1105,39.83570736336568,21.42938080556016,HARAM,22.329724866968775,0.75,3.0,23.781340863520388,GREEN,Normal operations
2023-06-24 00:00:00,1106,39.83575879904708,21.438415024197088,HARAM,22.329724866968775,0.75,3.0,23.751195670870704,GREEN,Normal operations
2023-06-24 00:00:00,1107,39.8358102617219,21.447449232974723,HARAM,22.329724866968775,0.75,3.0,24.11392753324426,YELLOW,Extra water stations; increased medical presence
2023-06-24 00:00:00,1147,39.84520023216742,21.402229732948783,HARAM,22.329724866968775,0.75,3.0,25.722276833365544,YELLOW,Extra water stations; increased medical presence
